frame_0.zeroDeg.bin, 666, 860
frame_0.zeroDeg.bin, 949, 960
frame_0.zeroDeg.bin, 1277, 1339
frame_0.zeroDeg.bin, 1398, 1520
frame_0.zeroDeg.bin, 1593, 1666
frame_0.zeroDeg.bin, 1701, 1724
frame_1.zeroDeg.bin, 666, 852
frame_1.zeroDeg.bin, 948, 959
frame_1.zeroDeg.bin, 1283, 1345
frame_1.zeroDeg.bin, 1404, 1526
frame_1.zeroDeg.bin, 1599, 1672
frame_1.zeroDeg.bin, 1707, 1726
frame_2.zeroDeg.bin, 666, 853
frame_2.zeroDeg.bin, 949, 960
frame_2.zeroDeg.bin, 1280, 1343
frame_2.zeroDeg.bin, 1402, 1524
frame_2.zeroDeg.bin, 1597, 1670
frame_2.zeroDeg.bin, 1705, 1728
frame_3.zeroDeg.bin, 666, 853
frame_3.zeroDeg.bin, 950, 961
frame_3.zeroDeg.bin, 1170, 1174
frame_3.zeroDeg.bin, 1284, 1346
frame_3.zeroDeg.bin, 1405, 1527
frame_3.zeroDeg.bin, 1600, 1673
frame_3.zeroDeg.bin, 1708, 1725
frame_3.zeroDeg.bin, 1780, 1822
frame_4.zeroDeg.bin, 666, 852
frame_4.zeroDeg.bin, 948, 959
frame_4.zeroDeg.bin, 1278, 1341
frame_4.zeroDeg.bin, 1400, 1522
frame_4.zeroDeg.bin, 1595, 1668
frame_4.zeroDeg.bin, 1703, 1724
frame_4.zeroDeg.bin, 1782, 1822
frame_5.zeroDeg.bin, 666, 853
frame_5.zeroDeg.bin, 950, 961
frame_5.zeroDeg.bin, 1280, 1342
frame_5.zeroDeg.bin, 1401, 1523
frame_5.zeroDeg.bin, 1596, 1669
frame_5.zeroDeg.bin, 1704, 1723
frame_5.zeroDeg.bin, 1782, 1815
frame_6.zeroDeg.bin, 666, 861
frame_6.zeroDeg.bin, 951, 961
frame_6.zeroDeg.bin, 1281, 1345
frame_6.zeroDeg.bin, 1404, 1526
frame_6.zeroDeg.bin, 1599, 1672
frame_6.zeroDeg.bin, 1707, 1727
frame_7.zeroDeg.bin, 666, 853
frame_7.zeroDeg.bin, 950, 960
frame_7.zeroDeg.bin, 1281, 1344
frame_7.zeroDeg.bin, 1402, 1524
frame_7.zeroDeg.bin, 1597, 1670
frame_7.zeroDeg.bin, 1705, 1722
frame_7.zeroDeg.bin, 1773, 1811
frame_8.zeroDeg.bin, 666, 853
frame_8.zeroDeg.bin, 949, 960
frame_8.zeroDeg.bin, 1276, 1339
frame_8.zeroDeg.bin, 1398, 1520
frame_8.zeroDeg.bin, 1593, 1666
frame_8.zeroDeg.bin, 1701, 1720
frame_9.zeroDeg.bin, 666, 860
frame_9.zeroDeg.bin, 949, 960
frame_9.zeroDeg.bin, 1276, 1339
frame_9.zeroDeg.bin, 1397, 1519
frame_9.zeroDeg.bin, 1592, 1665
frame_9.zeroDeg.bin, 1699, 1719
frame_9.zeroDeg.bin, 1767, 1810
frame_10.zeroDeg.bin, 666, 852
frame_10.zeroDeg.bin, 948, 959
frame_10.zeroDeg.bin, 1276, 1339
frame_10.zeroDeg.bin, 1397, 1519
frame_10.zeroDeg.bin, 1592, 1665
frame_10.zeroDeg.bin, 1700, 1722
frame_10.zeroDeg.bin, 1792, 1821
frame_11.zeroDeg.bin, 666, 853
frame_11.zeroDeg.bin, 949, 960
frame_11.zeroDeg.bin, 1280, 1342
frame_11.zeroDeg.bin, 1401, 1523
frame_11.zeroDeg.bin, 1596, 1669
frame_11.zeroDeg.bin, 1704, 1726
frame_12.zeroDeg.bin, 666, 853
frame_12.zeroDeg.bin, 949, 960
frame_12.zeroDeg.bin, 1279, 1342
frame_12.zeroDeg.bin, 1400, 1522
frame_12.zeroDeg.bin, 1595, 1668
frame_12.zeroDeg.bin, 1703, 1725
frame_13.zeroDeg.bin, 666, 853
frame_13.zeroDeg.bin, 949, 960
frame_13.zeroDeg.bin, 1165, 1173
frame_13.zeroDeg.bin, 1281, 1345
frame_13.zeroDeg.bin, 1403, 1525
frame_13.zeroDeg.bin, 1598, 1671
frame_13.zeroDeg.bin, 1705, 1728
frame_13.zeroDeg.bin, 1789, 1826
frame_14.zeroDeg.bin, 666, 860
frame_14.zeroDeg.bin, 949, 960
frame_14.zeroDeg.bin, 1279, 1340
frame_14.zeroDeg.bin, 1399, 1521
frame_14.zeroDeg.bin, 1594, 1667
frame_14.zeroDeg.bin, 1702, 1724
frame_14.zeroDeg.bin, 1783, 1822
frame_15.zeroDeg.bin, 666, 853
frame_15.zeroDeg.bin, 949, 960
frame_15.zeroDeg.bin, 1282, 1345
frame_15.zeroDeg.bin, 1404, 1526
