
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

Not using fast math.
[frame_255.zeroDeg.bin] Took 0.103424 ms.
[frame_256.zeroDeg.bin] Took 0.080064 ms.
[frame_257.zeroDeg.bin] Took 0.069632 ms.
[frame_258.zeroDeg.bin] Took 0.068832 ms.
[frame_259.zeroDeg.bin] Took 0.069696 ms.
[frame_260.zeroDeg.bin] Took 0.102400 ms.
[frame_261.zeroDeg.bin] Took 0.101376 ms.
[frame_262.zeroDeg.bin] Took 0.109568 ms.
[frame_263.zeroDeg.bin] Took 0.101760 ms.
[frame_264.zeroDeg.bin] Took 0.069632 ms.
[frame_265.zeroDeg.bin] Took 0.071680 ms.
[frame_266.zeroDeg.bin] Took 0.068608 ms.
[frame_267.zeroDeg.bin] Took 0.067872 ms.
[frame_268.zeroDeg.bin] Took 0.100544 ms.
[frame_269.zeroDeg.bin] Took 0.101376 ms.
[frame_270.zeroDeg.bin] Took 0.101760 ms.
[frame_271.zeroDeg.bin] Took 0.068704 ms.
[frame_272.zeroDeg.bin] Took 0.100352 ms.
[frame_273.zeroDeg.bin] Took 0.089120 ms.
[frame_274.zeroDeg.bin] Took 0.070272 ms.
[frame_275.zeroDeg.bin] Took 0.069632 ms.
[frame_276.zeroDeg.bin] Took 0.069600 ms.
[frame_277.zeroDeg.bin] Took 0.069632 ms.
[frame_278.zeroDeg.bin] Took 0.102400 ms.
[frame_279.zeroDeg.bin] Took 0.070720 ms.
[frame_280.zeroDeg.bin] Took 0.067936 ms.
Took 67.897308 ms to process 281 frames.
ms per Frame: 0.241627, FPS: 4138.603027.
Used GPU implementation.
