
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0

Using UVM input data.
[frame_112.zeroDeg.bin] Took 0.104448 ms.
[frame_113.zeroDeg.bin] Took 0.103136 ms.
[frame_114.zeroDeg.bin] Took 0.104128 ms.
[frame_115.zeroDeg.bin] Took 0.102432 ms.
[frame_116.zeroDeg.bin] Took 0.112928 ms.
[frame_117.zeroDeg.bin] Took 0.102400 ms.
[frame_118.zeroDeg.bin] Took 0.110368 ms.
[frame_119.zeroDeg.bin] Took 0.100704 ms.
[frame_120.zeroDeg.bin] Took 0.100128 ms.
[frame_121.zeroDeg.bin] Took 0.100224 ms.
[frame_122.zeroDeg.bin] Took 0.098976 ms.
[frame_123.zeroDeg.bin] Took 0.100256 ms.
[frame_124.zeroDeg.bin] Took 0.101376 ms.
[frame_125.zeroDeg.bin] Took 0.100416 ms.
[frame_126.zeroDeg.bin] Took 0.100416 ms.
[frame_127.zeroDeg.bin] Took 0.101248 ms.
[frame_128.zeroDeg.bin] Took 0.102144 ms.
[frame_129.zeroDeg.bin] Took 0.103328 ms.
[frame_130.zeroDeg.bin] Took 0.101280 ms.
[frame_131.zeroDeg.bin] Took 0.102368 ms.
[frame_132.zeroDeg.bin] Took 0.101952 ms.
[frame_133.zeroDeg.bin] Took 0.101472 ms.
[frame_134.zeroDeg.bin] Took 0.102144 ms.
[frame_135.zeroDeg.bin] Took 0.102112 ms.
[frame_136.zeroDeg.bin] Took 0.101984 ms.
[frame_137.zeroDeg.bin] Took 0.109216 ms.
[frame_138.zeroDeg.bin] Took 0.105632 ms.
[frame_139.zeroDeg.bin] Took 0.106496 ms.
[frame_140.zeroDeg.bin] Took 0.104448 ms.
[frame_141.zeroDeg.bin] Took 0.104448 ms.
[frame_142.zeroDeg.bin] Took 0.104608 ms.
[frame_143.zeroDeg.bin] Took 0.104032 ms.
[frame_144.zeroDeg.bin] Took 0.100544 ms.
[frame_145.zeroDeg.bin] Took 0.101952 ms.
[frame_146.zeroDeg.bin] Took 0.102560 ms.
[frame_147.zeroDeg.bin] Took 0.102592 ms.
[frame_148.zeroDeg.bin] Took 0.115424 ms.
[frame_149.zeroDeg.bin] Took 0.105728 ms.
[frame_150.zeroDeg.bin] Took 0.123648 ms.
[frame_151.zeroDeg.bin] Took 0.105504 ms.
[frame_152.zeroDeg.bin] Took 0.104448 ms.
[frame_153.zeroDeg.bin] Took 0.105888 ms.
[frame_154.zeroDeg.bin] Took 0.104800 ms.
[frame_155.zeroDeg.bin] Took 0.103424 ms.
[frame_156.zeroDeg.bin] Took 0.102400 ms.
[frame_157.zeroDeg.bin] Took 0.102400 ms.
[frame_158.zeroDeg.bin] Took 0.100448 ms.
[frame_159.zeroDeg.bin] Took 0.102400 ms.
[frame_160.zeroDeg.bin] Took 0.101536 ms.
[frame_161.zeroDeg.bin] Took 0.102720 ms.
[frame_162.zeroDeg.bin] Took 0.099840 ms.
[frame_163.zeroDeg.bin] Took 0.102400 ms.
[frame_164.zeroDeg.bin] Took 0.100352 ms.
[frame_165.zeroDeg.bin] Took 0.102080 ms.
[frame_166.zeroDeg.bin] Took 0.100352 ms.
[frame_167.zeroDeg.bin] Took 0.118848 ms.
[frame_168.zeroDeg.bin] Took 0.102208 ms.
[frame_169.zeroDeg.bin] Took 0.104096 ms.
[frame_170.zeroDeg.bin] Took 0.102400 ms.
[frame_171.zeroDeg.bin] Took 0.101152 ms.
[frame_172.zeroDeg.bin] Took 0.102464 ms.
[frame_173.zeroDeg.bin] Took 0.101152 ms.
[frame_174.zeroDeg.bin] Took 0.101888 ms.
[frame_175.zeroDeg.bin] Took 0.101056 ms.
[frame_176.zeroDeg.bin] Took 0.104448 ms.
[frame_177.zeroDeg.bin] Took 0.103456 ms.
[frame_178.zeroDeg.bin] Took 0.103712 ms.
[frame_179.zeroDeg.bin] Took 0.102976 ms.
[frame_180.zeroDeg.bin] Took 0.104000 ms.
[frame_181.zeroDeg.bin] Took 0.104128 ms.
[frame_182.zeroDeg.bin] Took 0.103200 ms.
[frame_183.zeroDeg.bin] Took 0.102400 ms.
[frame_184.zeroDeg.bin] Took 0.121152 ms.
[frame_185.zeroDeg.bin] Took 0.100992 ms.
[frame_186.zeroDeg.bin] Took 0.114080 ms.
[frame_187.zeroDeg.bin] Took 0.103968 ms.
[frame_188.zeroDeg.bin] Took 0.102560 ms.
[frame_189.zeroDeg.bin] Took 0.103968 ms.
[frame_190.zeroDeg.bin] Took 0.104480 ms.
[frame_191.zeroDeg.bin] Took 0.104384 ms.
[frame_192.zeroDeg.bin] Took 0.102464 ms.
[frame_193.zeroDeg.bin] Took 0.104160 ms.
[frame_194.zeroDeg.bin] Took 0.102848 ms.
[frame_195.zeroDeg.bin] Took 0.102560 ms.
[frame_196.zeroDeg.bin] Took 0.104096 ms.
[frame_197.zeroDeg.bin] Took 0.103872 ms.
[frame_198.zeroDeg.bin] Took 0.103296 ms.
[frame_199.zeroDeg.bin] Took 0.104448 ms.
