frame_9.zeroDeg.bin, 557, 571
frame_9.zeroDeg.bin, 573, 580
frame_9.zeroDeg.bin, 630, 653
frame_9.zeroDeg.bin, 679, 835
frame_9.zeroDeg.bin, 845, 1028
frame_9.zeroDeg.bin, 1038, 1048
frame_9.zeroDeg.bin, 1062, 1075
frame_9.zeroDeg.bin, 1087, 1138
frame_9.zeroDeg.bin, 1149, 1351
frame_9.zeroDeg.bin, 1361, 1723
frame_9.zeroDeg.bin, 1742, 2021
frame_9.zeroDeg.bin, 2070, 2103
frame_9.zeroDeg.bin, 2213, 2414
frame_10.zeroDeg.bin, 171, 234
frame_10.zeroDeg.bin, 560, 572
frame_10.zeroDeg.bin, 574, 582
frame_10.zeroDeg.bin, 632, 655
frame_10.zeroDeg.bin, 681, 837
frame_10.zeroDeg.bin, 847, 1031
frame_10.zeroDeg.bin, 1041, 1050
frame_10.zeroDeg.bin, 1064, 1077
frame_10.zeroDeg.bin, 1089, 1140
frame_10.zeroDeg.bin, 1151, 1353
frame_10.zeroDeg.bin, 1363, 1726
frame_10.zeroDeg.bin, 1744, 2023
frame_10.zeroDeg.bin, 2072, 2105
frame_10.zeroDeg.bin, 2215, 2416
frame_11.zeroDeg.bin, 171, 234
frame_11.zeroDeg.bin, 559, 571
frame_11.zeroDeg.bin, 574, 581
frame_11.zeroDeg.bin, 631, 654
frame_11.zeroDeg.bin, 679, 836
frame_11.zeroDeg.bin, 846, 1030
frame_11.zeroDeg.bin, 1040, 1049
frame_11.zeroDeg.bin, 1063, 1076
frame_11.zeroDeg.bin, 1087, 1139
frame_11.zeroDeg.bin, 1150, 1352
frame_11.zeroDeg.bin, 1362, 1724
frame_11.zeroDeg.bin, 1743, 2022
frame_11.zeroDeg.bin, 2070, 2102
frame_11.zeroDeg.bin, 2212, 2413
frame_12.zeroDeg.bin, 171, 234
frame_12.zeroDeg.bin, 560, 571
frame_12.zeroDeg.bin, 574, 582
frame_12.zeroDeg.bin, 632, 655
frame_12.zeroDeg.bin, 680, 837
frame_12.zeroDeg.bin, 848, 1031
frame_12.zeroDeg.bin, 1041, 1050
frame_12.zeroDeg.bin, 1064, 1077
frame_12.zeroDeg.bin, 1089, 1140
frame_12.zeroDeg.bin, 1151, 1353
frame_12.zeroDeg.bin, 1363, 1725
frame_12.zeroDeg.bin, 1744, 2023
frame_12.zeroDeg.bin, 2072, 2104
frame_12.zeroDeg.bin, 2214, 2415
frame_12.zeroDeg.bin, 2417, 2505
frame_13.zeroDeg.bin, 171, 234
frame_13.zeroDeg.bin, 559, 571
frame_13.zeroDeg.bin, 573, 581
frame_13.zeroDeg.bin, 631, 653
frame_13.zeroDeg.bin, 679, 836
frame_13.zeroDeg.bin, 847, 1030
frame_13.zeroDeg.bin, 1040, 1049
frame_13.zeroDeg.bin, 1063, 1076
frame_13.zeroDeg.bin, 1088, 1139
frame_13.zeroDeg.bin, 1150, 1352
frame_13.zeroDeg.bin, 1362, 1724
frame_13.zeroDeg.bin, 1743, 2022
frame_13.zeroDeg.bin, 2070, 2102
frame_13.zeroDeg.bin, 2212, 2413
frame_14.zeroDeg.bin, 171, 234
frame_14.zeroDeg.bin, 560, 572
frame_14.zeroDeg.bin, 574, 582
frame_14.zeroDeg.bin, 632, 654
frame_14.zeroDeg.bin, 680, 837
frame_14.zeroDeg.bin, 847, 1031
frame_14.zeroDeg.bin, 1040, 1050
frame_14.zeroDeg.bin, 1064, 1077
frame_14.zeroDeg.bin, 1088, 1140
frame_14.zeroDeg.bin, 1151, 1353
frame_14.zeroDeg.bin, 1363, 1726
frame_14.zeroDeg.bin, 1744, 2023
frame_14.zeroDeg.bin, 2073, 2105
frame_14.zeroDeg.bin, 2215, 2416
frame_15.zeroDeg.bin, 171, 234
frame_15.zeroDeg.bin, 558, 571
frame_15.zeroDeg.bin, 573, 580
frame_15.zeroDeg.bin, 630, 652
frame_15.zeroDeg.bin, 678, 836
frame_15.zeroDeg.bin, 845, 1029
frame_15.zeroDeg.bin, 1039, 1048
frame_15.zeroDeg.bin, 1062, 1075
frame_15.zeroDeg.bin, 1086, 1138
frame_15.zeroDeg.bin, 1150, 1351
frame_15.zeroDeg.bin, 1361, 1724
frame_15.zeroDeg.bin, 1742, 2021
frame_15.zeroDeg.bin, 2070, 2102
frame_15.zeroDeg.bin, 2212, 2414
frame_15.zeroDeg.bin, 2416, 2505
frame_16.zeroDeg.bin, 171, 234
frame_16.zeroDeg.bin, 560, 571
frame_16.zeroDeg.bin, 574, 581
frame_16.zeroDeg.bin, 632, 654
frame_16.zeroDeg.bin, 679, 837
frame_16.zeroDeg.bin, 847, 1031
frame_16.zeroDeg.bin, 1041, 1050
frame_16.zeroDeg.bin, 1064, 1077
frame_16.zeroDeg.bin, 1088, 1140
frame_16.zeroDeg.bin, 1151, 1353
frame_16.zeroDeg.bin, 1363, 1725
frame_16.zeroDeg.bin, 1744, 2023
frame_16.zeroDeg.bin, 2072, 2104
frame_16.zeroDeg.bin, 2214, 2415
frame_17.zeroDeg.bin, 171, 234
frame_17.zeroDeg.bin, 558, 572
frame_17.zeroDeg.bin, 574, 581
frame_17.zeroDeg.bin, 631, 653
frame_17.zeroDeg.bin, 678, 836
frame_17.zeroDeg.bin, 846, 1030
frame_17.zeroDeg.bin, 1040, 1049
frame_17.zeroDeg.bin, 1063, 1076
frame_17.zeroDeg.bin, 1088, 1139
frame_17.zeroDeg.bin, 1150, 1352
frame_17.zeroDeg.bin, 1362, 1724
frame_17.zeroDeg.bin, 1743, 2022
frame_17.zeroDeg.bin, 2071, 2103
frame_17.zeroDeg.bin, 2213, 2414
frame_18.zeroDeg.bin, 171, 231
frame_18.zeroDeg.bin, 559, 571
frame_18.zeroDeg.bin, 573, 581
frame_18.zeroDeg.bin, 631, 653
frame_18.zeroDeg.bin, 678, 836
frame_18.zeroDeg.bin, 846, 1030
frame_18.zeroDeg.bin, 1039, 1049
frame_18.zeroDeg.bin, 1063, 1076
frame_18.zeroDeg.bin, 1087, 1139
frame_18.zeroDeg.bin, 1150, 1352
frame_18.zeroDeg.bin, 1362, 1724
frame_18.zeroDeg.bin, 1743, 2022
frame_18.zeroDeg.bin, 2073, 2105
frame_18.zeroDeg.bin, 2215, 2417
frame_19.zeroDeg.bin, 171, 228
frame_19.zeroDeg.bin, 562, 574
frame_19.zeroDeg.bin, 576, 584
frame_19.zeroDeg.bin, 634, 840
frame_19.zeroDeg.bin, 850, 1033
frame_19.zeroDeg.bin, 1043, 1052
frame_19.zeroDeg.bin, 1066, 1079
frame_19.zeroDeg.bin, 1090, 1142
frame_19.zeroDeg.bin, 1153, 1355
frame_19.zeroDeg.bin, 1365, 1727
frame_19.zeroDeg.bin, 1746, 2025
frame_19.zeroDeg.bin, 2075, 2107
frame_19.zeroDeg.bin, 2217, 2418
frame_19.zeroDeg.bin, 2420, 2508
frame_20.zeroDeg.bin, 564, 576
frame_20.zeroDeg.bin, 578, 586
frame_20.zeroDeg.bin, 636, 841
frame_20.zeroDeg.bin, 852, 1035
frame_20.zeroDeg.bin, 1045, 1054
frame_20.zeroDeg.bin, 1068, 1081
frame_20.zeroDeg.bin, 1093, 1144
frame_20.zeroDeg.bin, 1155, 1357
frame_20.zeroDeg.bin, 1367, 1729
frame_20.zeroDeg.bin, 1748, 2027
frame_20.zeroDeg.bin, 2076, 2108
frame_20.zeroDeg.bin, 2218, 2419
frame_20.zeroDeg.bin, 2421, 2512
frame_21.zeroDeg.bin, 561, 573
frame_21.zeroDeg.bin, 575, 583
frame_21.zeroDeg.bin, 633, 838
frame_21.zeroDeg.bin, 848, 1032
frame_21.zeroDeg.bin, 1042, 1051
frame_21.zeroDeg.bin, 1065, 1078
frame_21.zeroDeg.bin, 1090, 1141
frame_21.zeroDeg.bin, 1152, 1354
frame_21.zeroDeg.bin, 1364, 1726
frame_21.zeroDeg.bin, 1745, 2024
frame_21.zeroDeg.bin, 2072, 2104
frame_21.zeroDeg.bin, 2214, 2415
frame_21.zeroDeg.bin, 2417, 2505
frame_22.zeroDeg.bin, 155, 188
frame_22.zeroDeg.bin, 563, 575
frame_22.zeroDeg.bin, 577, 585
frame_22.zeroDeg.bin, 635, 656
frame_22.zeroDeg.bin, 681, 840
frame_22.zeroDeg.bin, 850, 1034
frame_22.zeroDeg.bin, 1044, 1053
frame_22.zeroDeg.bin, 1067, 1080
frame_22.zeroDeg.bin, 1091, 1143
frame_22.zeroDeg.bin, 1154, 1356
frame_22.zeroDeg.bin, 1366, 1728
frame_22.zeroDeg.bin, 1747, 2026
frame_22.zeroDeg.bin, 2074, 2106
frame_22.zeroDeg.bin, 2216, 2418
frame_23.zeroDeg.bin, 142, 174
frame_23.zeroDeg.bin, 564, 576
frame_23.zeroDeg.bin, 578, 586
frame_23.zeroDeg.bin, 636, 657
frame_23.zeroDeg.bin, 682, 841
frame_23.zeroDeg.bin, 851, 1035
frame_23.zeroDeg.bin, 1045, 1054
frame_23.zeroDeg.bin, 1068, 1081
frame_23.zeroDeg.bin, 1093, 1144
frame_23.zeroDeg.bin, 1155, 1357
frame_23.zeroDeg.bin, 1367, 1730
frame_23.zeroDeg.bin, 1748, 2027
frame_23.zeroDeg.bin, 2077, 2109
frame_23.zeroDeg.bin, 2219, 2421
frame_24.zeroDeg.bin, 130, 160
frame_24.zeroDeg.bin, 561, 575
frame_24.zeroDeg.bin, 577, 584
frame_24.zeroDeg.bin, 634, 655
frame_24.zeroDeg.bin, 680, 839
frame_24.zeroDeg.bin, 850, 1033
frame_24.zeroDeg.bin, 1043, 1052
frame_24.zeroDeg.bin, 1066, 1079
frame_24.zeroDeg.bin, 1090, 1142
frame_24.zeroDeg.bin, 1153, 1355
frame_24.zeroDeg.bin, 1365, 1727
frame_24.zeroDeg.bin, 1746, 2025
frame_24.zeroDeg.bin, 2074, 2106
frame_24.zeroDeg.bin, 2216, 2418
frame_24.zeroDeg.bin, 2420, 2510
frame_25.zeroDeg.bin, 562, 575
frame_25.zeroDeg.bin, 577, 585
frame_25.zeroDeg.bin, 635, 656
frame_25.zeroDeg.bin, 681, 840
frame_25.zeroDeg.bin, 850, 1034
frame_25.zeroDeg.bin, 1044, 1053
frame_25.zeroDeg.bin, 1067, 1080
frame_25.zeroDeg.bin, 1091, 1143
frame_25.zeroDeg.bin, 1154, 1356
frame_25.zeroDeg.bin, 1366, 1728
frame_25.zeroDeg.bin, 1746, 2026
frame_25.zeroDeg.bin, 2075, 2107
frame_25.zeroDeg.bin, 2217, 2418
frame_26.zeroDeg.bin, 563, 576
frame_26.zeroDeg.bin, 578, 585
frame_26.zeroDeg.bin, 635, 656
frame_26.zeroDeg.bin, 681, 840
frame_26.zeroDeg.bin, 851, 1034
frame_26.zeroDeg.bin, 1044, 1053
frame_26.zeroDeg.bin, 1067, 1080
frame_26.zeroDeg.bin, 1091, 1143
frame_26.zeroDeg.bin, 1154, 1356
frame_26.zeroDeg.bin, 1365, 1728
frame_26.zeroDeg.bin, 1747, 2026
frame_26.zeroDeg.bin, 2075, 2107
frame_26.zeroDeg.bin, 2217, 2418
frame_27.zeroDeg.bin, 561, 575
frame_27.zeroDeg.bin, 577, 583
frame_27.zeroDeg.bin, 633, 839
frame_27.zeroDeg.bin, 849, 1033
frame_27.zeroDeg.bin, 1043, 1052
frame_27.zeroDeg.bin, 1066, 1079
frame_27.zeroDeg.bin, 1090, 1142
frame_27.zeroDeg.bin, 1153, 1355
frame_27.zeroDeg.bin, 1365, 1727
frame_27.zeroDeg.bin, 1746, 2025
frame_27.zeroDeg.bin, 2072, 2104
frame_27.zeroDeg.bin, 2214, 2415
frame_28.zeroDeg.bin, 563, 575
