
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_112.zeroDeg.bin] Took 0.108192 ms.
[frame_113.zeroDeg.bin] Took 0.108544 ms.
[frame_114.zeroDeg.bin] Took 0.107616 ms.
[frame_115.zeroDeg.bin] Took 0.107936 ms.
[frame_116.zeroDeg.bin] Took 0.114688 ms.
[frame_117.zeroDeg.bin] Took 0.076544 ms.
[frame_118.zeroDeg.bin] Took 0.107680 ms.
[frame_119.zeroDeg.bin] Took 0.110592 ms.
[frame_120.zeroDeg.bin] Took 0.111232 ms.
[frame_121.zeroDeg.bin] Took 0.096256 ms.
[frame_122.zeroDeg.bin] Took 0.108320 ms.
[frame_123.zeroDeg.bin] Took 0.107232 ms.
[frame_124.zeroDeg.bin] Took 0.105984 ms.
[frame_125.zeroDeg.bin] Took 0.075776 ms.
[frame_126.zeroDeg.bin] Took 0.124928 ms.
[frame_127.zeroDeg.bin] Took 0.107584 ms.
[frame_128.zeroDeg.bin] Took 0.108320 ms.
[frame_129.zeroDeg.bin] Took 0.107104 ms.
[frame_130.zeroDeg.bin] Took 0.106464 ms.
[frame_131.zeroDeg.bin] Took 0.110688 ms.
[frame_132.zeroDeg.bin] Took 0.106624 ms.
[frame_133.zeroDeg.bin] Took 0.107648 ms.
[frame_134.zeroDeg.bin] Took 0.107712 ms.
[frame_135.zeroDeg.bin] Took 0.110848 ms.
[frame_136.zeroDeg.bin] Took 0.076640 ms.
[frame_137.zeroDeg.bin] Took 0.107808 ms.
[frame_138.zeroDeg.bin] Took 0.107424 ms.
[frame_139.zeroDeg.bin] Took 0.106496 ms.
[frame_140.zeroDeg.bin] Took 0.129792 ms.
[frame_141.zeroDeg.bin] Took 0.077824 ms.
[frame_142.zeroDeg.bin] Took 0.106624 ms.
[frame_143.zeroDeg.bin] Took 0.077824 ms.
[frame_144.zeroDeg.bin] Took 0.106496 ms.
[frame_145.zeroDeg.bin] Took 0.127200 ms.
[frame_146.zeroDeg.bin] Took 0.107936 ms.
[frame_147.zeroDeg.bin] Took 0.106688 ms.
[frame_148.zeroDeg.bin] Took 0.106496 ms.
[frame_149.zeroDeg.bin] Took 0.105344 ms.
[frame_150.zeroDeg.bin] Took 0.120064 ms.
[frame_151.zeroDeg.bin] Took 0.077632 ms.
[frame_152.zeroDeg.bin] Took 0.105632 ms.
[frame_153.zeroDeg.bin] Took 0.105408 ms.
[frame_154.zeroDeg.bin] Took 0.108576 ms.
[frame_155.zeroDeg.bin] Took 0.107168 ms.
[frame_156.zeroDeg.bin] Took 0.077056 ms.
[frame_157.zeroDeg.bin] Took 0.108288 ms.
[frame_158.zeroDeg.bin] Took 0.107264 ms.
[frame_159.zeroDeg.bin] Took 0.106208 ms.
[frame_160.zeroDeg.bin] Took 0.077312 ms.
[frame_161.zeroDeg.bin] Took 0.116736 ms.
[frame_162.zeroDeg.bin] Took 0.106496 ms.
[frame_163.zeroDeg.bin] Took 0.077440 ms.
[frame_164.zeroDeg.bin] Took 0.107776 ms.
[frame_165.zeroDeg.bin] Took 0.078848 ms.
[frame_166.zeroDeg.bin] Took 0.106848 ms.
[frame_167.zeroDeg.bin] Took 0.106624 ms.
[frame_168.zeroDeg.bin] Took 0.106528 ms.
[frame_169.zeroDeg.bin] Took 0.108448 ms.
[frame_170.zeroDeg.bin] Took 0.106656 ms.
[frame_171.zeroDeg.bin] Took 0.108544 ms.
[frame_172.zeroDeg.bin] Took 0.106048 ms.
[frame_173.zeroDeg.bin] Took 0.105952 ms.
[frame_174.zeroDeg.bin] Took 0.115904 ms.
[frame_175.zeroDeg.bin] Took 0.106304 ms.
[frame_176.zeroDeg.bin] Took 0.105120 ms.
[frame_177.zeroDeg.bin] Took 0.104544 ms.
[frame_178.zeroDeg.bin] Took 0.104960 ms.
[frame_179.zeroDeg.bin] Took 0.127392 ms.
[frame_180.zeroDeg.bin] Took 0.077824 ms.
[frame_181.zeroDeg.bin] Took 0.104448 ms.
[frame_182.zeroDeg.bin] Took 0.106464 ms.
[frame_183.zeroDeg.bin] Took 0.106048 ms.
[frame_184.zeroDeg.bin] Took 0.093888 ms.
[frame_185.zeroDeg.bin] Took 0.106240 ms.
[frame_186.zeroDeg.bin] Took 0.106752 ms.
[frame_187.zeroDeg.bin] Took 0.106624 ms.
[frame_188.zeroDeg.bin] Took 0.106080 ms.
[frame_189.zeroDeg.bin] Took 0.120832 ms.
[frame_190.zeroDeg.bin] Took 0.106592 ms.
[frame_191.zeroDeg.bin] Took 0.105248 ms.
[frame_192.zeroDeg.bin] Took 0.106496 ms.
[frame_193.zeroDeg.bin] Took 0.075776 ms.
[frame_194.zeroDeg.bin] Took 0.106848 ms.
[frame_195.zeroDeg.bin] Took 0.106496 ms.
[frame_196.zeroDeg.bin] Took 0.106496 ms.
[frame_197.zeroDeg.bin] Took 0.107776 ms.
[frame_198.zeroDeg.bin] Took 0.108416 ms.
[frame_199.zeroDeg.bin] Took 0.108544 ms.
[frame_200.zeroDeg.bin] Took 0.116320 ms.
[frame_201.zeroDeg.bin] Took 0.106496 ms.
[frame_202.zeroDeg.bin] Took 0.106496 ms.
[frame_203.zeroDeg.bin] Took 0.154912 ms.
[frame_204.zeroDeg.bin] Took 0.106144 ms.
[frame_205.zeroDeg.bin] Took 0.105120 ms.
[frame_206.zeroDeg.bin] Took 0.110528 ms.
[frame_207.zeroDeg.bin] Took 0.106016 ms.
[frame_208.zeroDeg.bin] Took 0.106400 ms.
[frame_209.zeroDeg.bin] Took 0.106656 ms.
[frame_210.zeroDeg.bin] Took 0.106496 ms.
[frame_211.zeroDeg.bin] Took 0.110752 ms.
[frame_212.zeroDeg.bin] Took 0.107008 ms.
[frame_213.zeroDeg.bin] Took 0.106784 ms.
[frame_214.zeroDeg.bin] Took 0.108544 ms.
[frame_215.zeroDeg.bin] Took 0.110848 ms.
[frame_216.zeroDeg.bin] Took 0.106848 ms.
[frame_217.zeroDeg.bin] Took 0.125792 ms.
[frame_218.zeroDeg.bin] Took 0.077920 ms.
[frame_219.zeroDeg.bin] Took 0.112192 ms.
[frame_220.zeroDeg.bin] Took 0.106432 ms.
[frame_221.zeroDeg.bin] Took 0.107680 ms.
[frame_222.zeroDeg.bin] Took 0.095552 ms.
[frame_223.zeroDeg.bin] Took 0.107296 ms.
[frame_224.zeroDeg.bin] Took 0.106496 ms.
[frame_225.zeroDeg.bin] Took 0.077632 ms.
[frame_226.zeroDeg.bin] Took 0.107840 ms.
[frame_227.zeroDeg.bin] Took 0.117792 ms.
[frame_228.zeroDeg.bin] Took 0.106880 ms.
[frame_229.zeroDeg.bin] Took 0.107040 ms.
[frame_230.zeroDeg.bin] Took 0.105440 ms.
[frame_231.zeroDeg.bin] Took 0.106592 ms.
[frame_232.zeroDeg.bin] Took 0.106752 ms.
[frame_233.zeroDeg.bin] Took 0.104416 ms.
