
The following have been reloaded with a version change:
  1) gcc/.11.3.0_cuda => gcc/11.3.0
[frame_49.zeroDeg.bin] Took 0.106496 ms.
[frame_50.zeroDeg.bin] Took 0.107456 ms.
[frame_51.zeroDeg.bin] Took 0.104448 ms.
[frame_52.zeroDeg.bin] Took 0.127968 ms.
[frame_53.zeroDeg.bin] Took 0.108352 ms.
[frame_54.zeroDeg.bin] Took 0.103008 ms.
[frame_55.zeroDeg.bin] Took 0.106496 ms.
[frame_56.zeroDeg.bin] Took 0.106752 ms.
[frame_57.zeroDeg.bin] Took 0.122400 ms.
[frame_58.zeroDeg.bin] Took 0.108576 ms.
[frame_59.zeroDeg.bin] Took 0.107648 ms.
[frame_60.zeroDeg.bin] Took 0.106624 ms.
[frame_61.zeroDeg.bin] Took 0.106752 ms.
[frame_62.zeroDeg.bin] Took 0.137984 ms.
[frame_63.zeroDeg.bin] Took 0.106944 ms.
[frame_64.zeroDeg.bin] Took 0.106496 ms.
[frame_65.zeroDeg.bin] Took 0.107808 ms.
[frame_66.zeroDeg.bin] Took 0.108192 ms.
[frame_67.zeroDeg.bin] Took 0.131072 ms.
[frame_68.zeroDeg.bin] Took 0.105536 ms.
[frame_69.zeroDeg.bin] Took 0.106752 ms.
[frame_70.zeroDeg.bin] Took 0.106496 ms.
[frame_71.zeroDeg.bin] Took 0.106528 ms.
[frame_72.zeroDeg.bin] Took 0.127712 ms.
[frame_73.zeroDeg.bin] Took 0.104544 ms.
[frame_74.zeroDeg.bin] Took 0.101920 ms.
[frame_75.zeroDeg.bin] Took 0.106496 ms.
[frame_76.zeroDeg.bin] Took 0.106624 ms.
[frame_77.zeroDeg.bin] Took 0.123520 ms.
[frame_78.zeroDeg.bin] Took 0.110240 ms.
[frame_79.zeroDeg.bin] Took 0.106496 ms.
[frame_80.zeroDeg.bin] Took 0.103744 ms.
[frame_81.zeroDeg.bin] Took 0.103168 ms.
[frame_82.zeroDeg.bin] Took 0.121504 ms.
[frame_83.zeroDeg.bin] Took 0.106496 ms.
[frame_84.zeroDeg.bin] Took 0.122592 ms.
[frame_85.zeroDeg.bin] Took 0.107584 ms.
[frame_86.zeroDeg.bin] Took 0.106496 ms.
[frame_87.zeroDeg.bin] Took 0.135040 ms.
[frame_88.zeroDeg.bin] Took 0.105792 ms.
[frame_89.zeroDeg.bin] Took 0.115648 ms.
[frame_90.zeroDeg.bin] Took 0.107552 ms.
[frame_91.zeroDeg.bin] Took 0.106176 ms.
[frame_92.zeroDeg.bin] Took 0.106656 ms.
[frame_93.zeroDeg.bin] Took 0.104544 ms.
[frame_94.zeroDeg.bin] Took 0.116768 ms.
[frame_95.zeroDeg.bin] Took 0.102400 ms.
[frame_96.zeroDeg.bin] Took 0.102368 ms.
[frame_97.zeroDeg.bin] Took 0.106496 ms.
[frame_98.zeroDeg.bin] Took 0.107488 ms.
[frame_99.zeroDeg.bin] Took 0.114720 ms.
[frame_100.zeroDeg.bin] Took 0.106464 ms.
[frame_101.zeroDeg.bin] Took 0.077024 ms.
[frame_102.zeroDeg.bin] Took 0.105056 ms.
